Model,Year,Mileage,Fuel,Gearbox,Horsepower ,Price,Link to advertisement
Volvo V60,2022,6341,0,0,344,394000,https://www.blocket.se/annons/1001133689
Volvo V60,2022,8537,2,0,200,349000,https://www.blocket.se/annons/1001133688
Volvo V60,2022,8120,2,0,198,299900,https://www.blocket.se/annons/1001159795
Volvo V60,2022,8251,2,0,198,337900,https://www.blocket.se/annons/1001159794
Volvo V60,2022,5283,2,0,200,309900,https://www.blocket.se/annons/1001221604
Volvo V60,2022,10236,0,0,304,369800,https://www.blocket.se/annons/1001012922
Volvo V60,2022,6342,0,0,463,539900,https://www.blocket.se/annons/1001145995
Volvo V60,2022,11287,2,0,198,293900,https://www.blocket.se/annons/1000979774
Volvo V60,2022,6420,1,0,200,299000,https://www.blocket.se/annons/1001216862
Volvo V60,2022,6751,0,0,340,344900,https://www.blocket.se/annons/1001158411
Volvo V60,2022,6886,2,0,200,354800,https://www.blocket.se/annons/1001216326
Volvo V60,2022,3400,0,0,396,459900,https://www.blocket.se/annons/1001213762
Volvo V60,2022,7765,1,0,200,289000,https://www.blocket.se/annons/1001031191
Volvo V60,2022,3947,2,0,200,399500,https://www.blocket.se/annons/1000917031
Volvo V60,2022,4961,2,0,200,399500,https://www.blocket.se/annons/1000894916
Volvo V60,2022,1210,2,0,198,399000,https://www.blocket.se/annons/1001184941
Volvo V60,2022,4514,2,0,200,309900,https://www.blocket.se/annons/1001209899
Volvo V60,2023,1940,0,0,404,569000,https://www.blocket.se/annons/1000999674
Volvo V60,2023,2200,2,0,198,339000,https://www.blocket.se/annons/1001137576
Volvo V60,2023,2148,1,0,200,349900,https://www.blocket.se/annons/1001247936
Volvo V60,2023,4330,2,0,198,329900,https://www.blocket.se/annons/1001247616
Volvo V60,2023,567,1,0,253,529900,https://www.blocket.se/annons/1000602936
Volvo V60,2023,2163,2,0,200,359100,https://www.blocket.se/annons/1001009721
Volvo V60,2023,2606,1,0,200,373000,https://www.blocket.se/annons/1001245500
Volvo V60,2023,3255,0,0,399,539800,https://www.blocket.se/annons/1001075964
Volvo V60,2023,1081,0,0,463,599900,https://www.blocket.se/annons/1001037126
Volvo V60,2023,2584,1,0,165,329900,https://www.blocket.se/annons/1000951403
Volvo V60,2023,2544,2,0,200,429900,https://www.blocket.se/annons/1001207234
Volvo V60,2023,2036,1,0,165,329900,https://www.blocket.se/annons/1000895733
Volvo V60,2023,1612,1,0,165,329900,https://www.blocket.se/annons/1000731727
Volvo V60,2023,4490,2,0,200,349900,https://www.blocket.se/annons/1000573144
Volvo V60,2023,4463,2,0,198,328900,https://www.blocket.se/annons/1001241861
Volvo V60,2023,5245,2,0,198,399800,https://www.blocket.se/annons/1001241246
Volvo V60,2023,5730,2,0,198,399800,https://www.blocket.se/annons/1001175128
Volvo V60,2023,2808,1,0,200,369500,https://www.blocket.se/annons/1001239677
Volvo V60,2023,1587,1,0,198,409900,https://www.blocket.se/annons/1001238556
Volvo V60,2023,2201,2,0,200,364500,https://www.blocket.se/annons/1000996484
Volvo V60,2023,1583,0,0,404,469000,https://www.blocket.se/annons/1001236006
Volvo V60,2023,942,2,0,200,459800,https://www.blocket.se/annons/1001234369
Volvo V60,2023,2576,1,0,200,419900,https://www.blocket.se/annons/1001229811
Volvo V60,2023,3031,0,0,398,549800,https://www.blocket.se/annons/1000680455
Volvo V60,2023,2600,2,0,200,364800,https://www.blocket.se/annons/1001118750
Volvo V60,2023,3822,2,0,200,339000,https://www.blocket.se/annons/1001181444
Volvo V60,2023,2350,0,0,404,549900,https://www.blocket.se/annons/1000894093
Volvo V60,2023,2300,2,0,198,339000,https://www.blocket.se/annons/1001137823
Volvo V60,2023,2858,2,0,200,349900,https://www.blocket.se/annons/1001223944
Volvo V60,2023,2441,1,0,200,349900,https://www.blocket.se/annons/1001223271
Volvo V60,2023,5358,2,0,200,334900,https://www.blocket.se/annons/1000805222
Volvo V60,2023,1968,1,0,200,349900,https://www.blocket.se/annons/1001221648
Volvo V60,2023,3847,2,0,198,329900,https://www.blocket.se/annons/1001221434
Volvo V60,2023,5018,1,0,200,319800,https://www.blocket.se/annons/1001219492
Volvo V60,2023,2860,0,0,404,469500,https://www.blocket.se/annons/1001218657
Volvo V60,2023,2549,1,0,164,339900,https://www.blocket.se/annons/1000915298
Volvo V60,2023,2887,0,0,253,479900,https://www.blocket.se/annons/1000922354
Volvo V60,2023,2158,0,0,404,489900,https://www.blocket.se/annons/1001216825
Volvo V60,2023,820,1,0,200,399000,https://www.blocket.se/annons/1001213362
Volvo V60,2023,3143,2,0,200,339800,https://www.blocket.se/annons/1001211297
Volvo V60,2023,1993,1,0,200,459500,https://www.blocket.se/annons/1000791556
Volvo V60,2023,669,1,0,253,469900,https://www.blocket.se/annons/1001207617
Volvo V60,2023,1200,2,0,198,395000,https://www.blocket.se/annons/107321641
Volvo V60,2023,3951,2,0,198,329900,https://www.blocket.se/annons/1001200165
Volvo V60,2023,3683,2,0,198,319900,https://www.blocket.se/annons/1001200146
Volvo V60,2023,3299,2,0,198,319900,https://www.blocket.se/annons/1001200143
Volvo V60,2023,3381,0,0,404,549000,https://www.blocket.se/annons/1001199337
Volvo V60,2023,2608,1,0,165,349000,https://www.blocket.se/annons/1001057975
Volvo V60,2023,6427,2,0,198,357500,https://www.blocket.se/annons/1001159667
Volvo V60,2023,3500,2,0,200,389900,https://www.blocket.se/annons/1000514996
Volvo V60,2023,3378,0,0,404,469000,https://www.blocket.se/annons/1001186175
Volvo V60,2023,3318,0,0,404,469000,https://www.blocket.se/annons/1001186170
Volvo V60,2023,2425,2,0,200,364800,https://www.blocket.se/annons/1001037216
Volvo V60,2023,3216,2,0,200,336800,https://www.blocket.se/annons/1001139897
Volvo V60,2023,2870,1,0,200,374800,https://www.blocket.se/annons/1000879195
Volvo V60,2023,3003,2,0,200,389500,https://www.blocket.se/annons/1000837152
Volvo V60,2023,2955,1,0,165,349000,https://www.blocket.se/annons/1000982622
Volvo V60,2023,3045,2,0,200,419500,https://www.blocket.se/annons/1001021320
Volvo V60,2023,3210,1,0,165,345000,https://www.blocket.se/annons/1001168409
Volvo V60,2023,1322,2,0,200,389000,https://www.blocket.se/annons/1001166564
Volvo V60,2023,4249,1,0,165,329500,https://www.blocket.se/annons/1001056996
